Date,ads,date,hour,weekday,month
2017-08-03 00:00:00,49136,2017-08-03,0,Thursday,8
2017-08-03 01:00:00,46450,2017-08-03,1,Thursday,8
2017-08-03 02:00:00,46355,2017-08-03,2,Thursday,8
2017-08-03 03:00:00,43748,2017-08-03,3,Thursday,8
2017-08-03 04:00:00,42281,2017-08-03,4,Thursday,8
2017-08-03 05:00:00,42059,2017-08-03,5,Thursday,8
2017-08-03 06:00:00,41136,2017-08-03,6,Thursday,8
2017-08-03 07:00:00,39974,2017-08-03,7,Thursday,8
2017-08-03 08:00:00,37261,2017-08-03,8,Thursday,8
2017-08-03 09:00:00,35194,2017-08-03,9,Thursday,8
2017-08-03 10:00:00,33188,2017-08-03,10,Thursday,8
2017-08-03 11:00:00,33860,2017-08-03,11,Thursday,8
2017-08-03 12:00:00,35437,2017-08-03,12,Thursday,8
2017-08-03 13:00:00,36711,2017-08-03,13,Thursday,8
2017-08-03 14:00:00,38883,2017-08-03,14,Thursday,8
2017-08-03 15:00:00,38449,2017-08-03,15,Thursday,8
2017-08-03 16:00:00,41144,2017-08-03,16,Thursday,8
2017-08-03 17:00:00,44986,2017-08-03,17,Thursday,8
2017-08-03 18:00:00,48467,2017-08-03,18,Thursday,8
2017-08-03 19:00:00,50841,2017-08-03,19,Thursday,8
2017-08-03 20:00:00,52504,2017-08-03,20,Thursday,8
2017-08-03 21:00:00,52998,2017-08-03,21,Thursday,8
2017-08-03 22:00:00,54497,2017-08-03,22,Thursday,8
2017-08-03 23:00:00,53225,2017-08-03,23,Thursday,8
2017-08-04 00:00:00,53340,2017-08-04,0,Friday,8
2017-08-04 01:00:00,50372,2017-08-04,1,Friday,8
2017-08-04 02:00:00,49659,2017-08-04,2,Friday,8
2017-08-04 03:00:00,49061,2017-08-04,3,Friday,8
2017-08-04 04:00:00,47064,2017-08-04,4,Friday,8
2017-08-04 05:00:00,49502,2017-08-04,5,Friday,8
2017-08-04 06:00:00,36092,2017-08-04,6,Friday,8
2017-08-04 07:00:00,33534,2017-08-04,7,Friday,8
2017-08-04 08:00:00,33614,2017-08-04,8,Friday,8
2017-08-04 09:00:00,31387,2017-08-04,9,Friday,8
2017-08-04 10:00:00,30942,2017-08-04,10,Friday,8
2017-08-04 11:00:00,30781,2017-08-04,11,Friday,8
2017-08-04 12:00:00,32040,2017-08-04,12,Friday,8
2017-08-04 13:00:00,34229,2017-08-04,13,Friday,8
2017-08-04 14:00:00,34965,2017-08-04,14,Friday,8
2017-08-04 15:00:00,33603,2017-08-04,15,Friday,8
2017-08-04 16:00:00,35761,2017-08-04,16,Friday,8
2017-08-04 17:00:00,40269,2017-08-04,17,Friday,8
2017-08-04 18:00:00,43283,2017-08-04,18,Friday,8
2017-08-04 19:00:00,47662,2017-08-04,19,Friday,8
2017-08-04 20:00:00,48299,2017-08-04,20,Friday,8
2017-08-04 21:00:00,47808,2017-08-04,21,Friday,8
