product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,sales_value,order_value,stock_gap,stock_turnover_rate,shipping_cost_per_unit,revenue_per_unit_sold,total_lead_time,total_cost_proxy,profit_proxy,stock_status,defect_level
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,55986.02044477684,6701.568532043113,-38,13.59322033898305,0.030797626452404237,10.800494753606463,40,236.98852683914305,8425.00826555324,shortage,low
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,10924.833130462075,549.2103611781206,16,13.62962962962963,0.26261012895760294,10.137092480225338,62,546.3989228748305,6914.501142571018,balanced,high
haircare,SKU2,11.319683293090566,34,8,9577.74962586873,Unknown,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,90.55746634472453,996.1321297919699,-87,4.0,0.09152817342877449,1197.2187032335912,39,180.6627803815354,9397.086845487194,shortage,high
skincare,SKU3,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,5076.557470364332,3608.6372379698264,-36,3.4583333333333335,0.029314721415990317,93.57634247813533,37,292.13046917995507,7474.705956505278,shortage,high
skincare,SKU4,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,4185.587047657273,269.10777803537,-51,145.16666666666666,0.069474069926262,3.084391678033808,14,1019.3963402265057,1667.108811340941,shortage,high
haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,249.89647403829284,112.19841691515188,24,1.6153846153846154,0.0673348312785196,19.24046765969904,47,296.6718111573516,2531.676934818407,surplus,medium
skincare,SKU6,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,265.0916361020164,236.5433060602608,-47,5.416666666666667,0.06690971211986212,120.3611778389498,47,139.3349287335708,7684.141630798166,shortage,medium
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,18300.27174692799,472.54222820706076,82,4.531914893617022,0.21348534403798006,19.943905664530135,19,903.8707592055755,7592.2330538842625,surplus,low
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,10307.6395122791,1030.76395122791,-10,25.0,0.22698225713886844,50.11575473754085,25,520.3848952221128,6996.978315409015,shortage,medium
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,62735.41828245297,5313.305834126119,-69,65.33333333333333,0.08634512398853272,5.0725979465158755,51,1051.0537084246414,3920.0922791609164,shortage,high
