shipping_carriers,transportation_modes,order_count,avg_shipping_time,avg_shipping_cost,avg_route_cost
Carrier A,Air,5,5.6,6.247389018973438,532.6329761906512
Carrier A,Rail,7,7.428571428571429,6.399831410665245,558.7128900703633
Carrier A,Road,11,5.181818181818182,5.465459540874855,470.49173206208525
Carrier A,Sea,5,7.0,3.8764021374176565,435.50150791162395
Carrier B,Air,14,4.214285714285714,6.21640818955157,503.3748241234836
Carrier B,Rail,15,6.333333333333333,5.231036027990685,553.4094410719601
Carrier B,Road,11,4.909090909090909,4.97636466840448,604.5524307198757
Carrier B,Sea,3,6.666666666666667,5.55411774596795,242.32612485475246
Carrier C,Air,7,6.571428571428571,5.45673772462213,699.1592969902506
Carrier C,Rail,6,6.166666666666667,4.978396986060514,492.79995199329034
Carrier C,Road,7,3.7142857142857144,6.551611429893635,603.2439783704846
Carrier C,Sea,9,7.333333333333333,5.383403437090472,466.49328959458904
