Admission Year Month,Admissions
2019-05,677
2019-06,899
2019-07,951
2019-08,985
2019-09,924
2019-10,993
2019-11,950
2019-12,921
2020-01,942
2020-02,868
2020-03,924
2020-04,911
2020-05,970
2020-06,924
2020-07,1000
2020-08,1003
2020-09,899
2020-10,948
2020-11,900
2020-12,883
2021-01,924
2021-02,828
2021-03,953
2021-04,862
2021-05,893
2021-06,915
2021-07,966
2021-08,887
2021-09,860
2021-10,885
2021-11,899
2021-12,944
2022-01,960
2022-02,772
2022-03,931
2022-04,871
2022-05,885
2022-06,959
2022-07,935
2022-08,948
2022-09,912
2022-10,903
2022-11,886
2022-12,953
2023-01,926
2023-02,873
2023-03,912
2023-04,893
2023-05,918
2023-06,953
2023-07,913
2023-08,962
2023-09,913
2023-10,884
2023-11,873
2023-12,916
2024-01,903
2024-02,869
2024-03,902
2024-04,941
2024-05,212
