year,metric,metric_cn,mean,min,min_date,max,max_date
2005,temperature_(c),温度,0.5778,0.5778,2005-12-31,0.5778,2005-12-31
2005,apparent_temperature_(c),体感温度,-4.05,-4.05,2005-12-31,-4.05,2005-12-31
2005,humidity,湿度,0.89,0.89,2005-12-31,0.89,2005-12-31
2005,wind_speed_(km/h),风速,17.1143,17.1143,2005-12-31,17.1143,2005-12-31
2005,wind_bearing_(degrees),风向角度,140.0,140.0,2005-12-31,140.0,2005-12-31
2005,visibility_(km),能见度,9.982,9.982,2005-12-31,9.982,2005-12-31
2005,loud_cover,云量覆盖,0.0,0.0,2005-12-31,0.0,2005-12-31
2005,pressure_(millibars),气压,1016.66,1016.66,2005-12-31,1016.66,2005-12-31
2006,temperature_(c),温度,11.2152,-14.0889,2006-01-25,34.0056,2006-06-27
2006,apparent_temperature_(c),体感温度,10.1582,-22.0944,2006-01-23,36.4,2006-06-27
2006,humidity,湿度,0.7673,0.26,2006-10-19,1.0,2006-01-05
2006,wind_speed_(km/h),风速,10.1891,0.0,2006-01-25,45.9333,2006-07-08
2006,wind_bearing_(degrees),风向角度,189.3397,0.0,2006-01-04,359.0,2006-01-15
2006,visibility_(km),能见度,9.7573,0.0,2006-02-09,16.1,2006-05-13
2006,loud_cover,云量覆盖,0.0,0.0,2006-01-01,0.0,2006-01-01
2006,pressure_(millibars),气压,1018.5395,996.24,2006-03-04,1045.14,2006-01-24
2007,temperature_(c),温度,12.1347,-10.1556,2007-12-19,39.9056,2007-07-22
2007,apparent_temperature_(c),体感温度,11.063,-12.4222,2007-12-19,38.3778,2007-08-24
2007,humidity,湿度,0.6896,0.13,2007-07-22,1.0,2007-01-08
2007,wind_speed_(km/h),风速,10.8242,0.0,2007-03-16,63.8526,2007-01-29
2007,wind_bearing_(degrees),风向角度,194.1064,0.0,2007-03-09,359.0,2007-03-02
2007,visibility_(km),能见度,10.4082,0.0,2007-02-23,16.1,2007-04-09
2007,loud_cover,云量覆盖,0.0,0.0,2007-01-01,0.0,2007-01-01
2007,pressure_(millibars),气压,1017.1894,987.08,2007-03-20,1041.65,2007-12-28
2008,temperature_(c),温度,12.1618,-11.1278,2008-01-04,37.7556,2008-08-15
2008,apparent_temperature_(c),体感温度,11.0531,-17.2611,2008-01-05,36.8556,2008-08-15
2008,humidity,湿度,0.7012,0.0,2008-02-17,1.0,2008-01-07
2008,wind_speed_(km/h),风速,11.3042,0.0,2008-01-08,55.9314,2008-01-27
2008,wind_bearing_(degrees),风向角度,193.861,0.0,2008-01-01,359.0,2008-01-23
2008,visibility_(km),能见度,10.2669,0.0,2008-01-08,16.1,2008-04-19
2008,loud_cover,云量覆盖,0.0,0.0,2008-01-01,0.0,2008-01-01
2008,pressure_(millibars),气压,1017.2241,986.1,2008-03-24,1046.38,2008-02-17
2009,temperature_(c),温度,12.2697,-16.6667,2009-12-20,36.1111,2009-07-23
2009,apparent_temperature_(c),体感温度,11.0709,-24.2333,2009-12-21,36.9222,2009-07-18
2009,humidity,湿度,0.7072,0.0,2009-01-25,1.0,2009-01-18
2009,wind_speed_(km/h),风速,11.5073,0.0,2009-01-01,48.3,2009-03-18
2009,wind_bearing_(degrees),风向角度,180.4777,0.0,2009-01-01,359.0,2009-01-28
2009,visibility_(km),能见度,10.0022,0.0,2009-01-07,16.1,2009-01-19
2009,loud_cover,云量覆盖,0.0,0.0,2009-01-01,0.0,2009-01-01
2009,pressure_(millibars),气压,1015.602,984.9,2009-03-05,1042.04,2009-01-11
2010,temperature_(c),温度,11.1653,-15.4833,2010-12-19,34.9278,2010-06-12
2010,apparent_temperature_(c),体感温度,10.0584,-21.4111,2010-12-19,38.1167,2010-07-17
2010,humidity,湿度,0.7971,0.29,2010-03-06,1.0,2010-01-01
2010,wind_speed_(km/h),风速,11.0349,0.0,2010-01-01,46.207,2010-02-27
2010,wind_bearing_(degrees),风向角度,191.9622,0.0,2010-01-01,359.0,2010-01-07
2010,visibility_(km),能见度,9.1359,0.0,2010-11-20,16.1,2010-10-23
2010,loud_cover,云量覆盖,0.0,0.0,2010-01-01,0.0,2010-01-01
2010,pressure_(millibars),气压,1014.1859,986.17,2010-11-08,1037.85,2010-01-25
2011,temperature_(c),温度,11.5249,-11.7,2011-02-27,37.8,2011-08-25
2011,apparent_temperature_(c),体感温度,10.5845,-12.7611,2011-03-08,37.7167,2011-07-10
2011,humidity,湿度,0.736,0.2,2011-10-18,1.0,2011-01-01
2011,wind_speed_(km/h),风速,9.8986,0.0,2011-01-03,49.3948,2011-04-08
2011,wind_bearing_(degrees),风向角度,189.3345,0.0,2011-01-03,359.0,2011-01-18
2011,visibility_(km),能见度,9.5082,0.0,2011-01-30,16.1,2011-03-09
2011,loud_cover,云量覆盖,0.0,0.0,2011-01-01,0.0,2011-01-01
2011,pressure_(millibars),气压,1018.9413,986.44,2011-12-17,1041.14,2011-12-27
2012,temperature_(c),温度,11.9868,-21.8222,2012-02-10,38.8611,2012-08-24
2012,apparent_temperature_(c),体感温度,10.7531,-27.7167,2012-02-10,37.8833,2012-08-24
2012,humidity,湿度,0.6895,0.0,2012-02-02,1.0,2012-01-04
2012,wind_speed_(km/h),风速,11.2647,0.0,2012-01-09,45.08,2012-03-11
2012,wind_bearing_(degrees),风向角度,187.7469,0.0,2012-01-07,359.0,2012-02-07
2012,visibility_(km),能见度,10.3627,0.0,2012-01-19,16.1,2012-01-04
2012,loud_cover,云量覆盖,0.0,0.0,2012-01-01,0.0,2012-01-01
2012,pressure_(millibars),气压,1016.7005,990.53,2012-10-27,1037.1,2012-03-09
2013,temperature_(c),温度,11.941,-8.9833,2013-03-17,37.8722,2013-07-29
2013,apparent_temperature_(c),体感温度,10.8255,-13.8889,2013-03-24,39.3444,2013-06-22
2013,humidity,湿度,0.7542,0.15,2013-11-26,1.0,2013-01-01
2013,wind_speed_(km/h),风速,10.97,0.0,2013-01-01,50.1354,2013-12-07
2013,wind_bearing_(degrees),风向角度,187.8626,0.0,2013-01-01,359.0,2013-01-05
2013,visibility_(km),能见度,10.8927,0.0,2013-11-22,16.1,2013-08-01
2013,loud_cover,云量覆盖,0.0,0.0,2013-01-01,0.0,2013-01-01
2013,pressure_(millibars),气压,1015.8595,988.39,2013-03-14,1041.93,2013-12-10
2014,temperature_(c),温度,12.5282,-13.2556,2014-12-31,33.9111,2014-06-10
2014,apparent_temperature_(c),体感温度,11.6276,-19.4722,2014-12-31,35.0944,2014-08-13
2014,humidity,湿度,0.7486,0.18,2014-03-11,1.0,2014-01-06
2014,wind_speed_(km/h),风速,10.5013,0.0,2014-01-08,54.8849,2014-03-15
2014,wind_bearing_(degrees),风向角度,178.2411,0.0,2014-01-08,359.0,2014-02-19
2014,visibility_(km),能见度,11.3204,0.0,2014-01-08,16.1,2014-01-05
2014,loud_cover,云量覆盖,0.0,0.0,2014-01-01,0.0,2014-01-01
2014,pressure_(millibars),气压,1015.7183,1000.01,2014-03-03,1039.13,2014-12-31
2015,temperature_(c),温度,12.3121,-13.0667,2015-01-01,37.1944,2015-07-23
2015,apparent_temperature_(c),体感温度,11.3413,-14.6444,2015-01-07,37.7833,2015-07-23
2015,humidity,湿度,0.7324,0.18,2015-08-11,1.0,2015-01-10
2015,wind_speed_(km/h),风速,10.7356,0.0,2015-01-22,46.6095,2015-05-13
2015,wind_bearing_(degrees),风向角度,184.0846,0.0,2015-01-18,359.0,2015-01-19
2015,visibility_(km),能见度,10.9141,0.0,2015-01-03,16.1,2015-01-05
2015,loud_cover,云量覆盖,0.0,0.0,2015-01-01,0.0,2015-01-01
2015,pressure_(millibars),气压,1018.6423,973.78,2015-01-30,1042.38,2015-11-01
